id,type,name,displayName,relApplicationToBusinessCapability,relApplicationToDataObject,relApplicationToITComponent:displayName,relApplicationToITComponent:activeFrom,relApplicationToITComponent:activeUntil,relApplicationToITComponent:costTotalAnnual,relApplicationToITComponent:description,relApplicationToITComponent:obsolescenceRiskComment,relApplicationToITComponent:obsolescenceRiskStatus,relApplicationToITComponent:serviceLevel,relApplicationToITComponent:technicalSuitability,relApplicationToProject,tags:GxP,tags:GD IT Teams,tags:Owned By,tags:Owning Function,tags:Business Domain,tags:Maturity Status,tags:Main Area,tags:PACE,tags:Business Unit,tags:Vendor,tags:LX PS WiP,tags:Region,tags:Other tags,relApplicationToUserGroup,maturityStatus,CMDB_SYS_ID,cmdbBizAppUrl,relToChild,functionalSuitability,technicalSuitability
ID,Type,Name,Display Name,Business Capabilities,Data Objects,IT Component: Display Name,Active from,Active until,costTotalAnnual,Description,Obsolescence Risk Comment,Obsolescence Risk Status,serviceLevel,Technical Fit,Initiatives,GxP_GDS,GD IT Teams,Owned By,Owning Function,Business Domain,Maturity Status,Main Area,PACE,Business Unit,Vendor,LX PS WiP,Region,Other tags,Organizations,Maturity Status,CMDB Application Service URL,CMDB Business Application URL,Children,Functional Fit,Technical Fit
7cac9bf0-892b-4a02-b795-af4701163d73,Application,32 Karat,32 Karat,IOPS Quality Control,,,,,,,,,,,,,,,,,,IOPS,,,,,,,IOPS - QC,,,,,,
e41ae6d2-fcdd-4bb0-a94f-0c02a75c2145,Application,3D Slicer for Imaging,3D Slicer for Imaging,Collaborations & Touchpoints / BDM;~Early Clinical Development (ECD) / Clinical Imaging / Image Analysis,,Amazon.com / AWS EC2,,,,,,,,,,,,,,,,,,ECD,,,,,Global Development,,,,,,
e41ae6d2-fcdd-4bb0-a94f-0c02a75c2145,Application,3D Slicer for Imaging,3D Slicer for Imaging,Collaborations & Touchpoints / BDM;~Early Clinical Development (ECD) / Clinical Imaging / Image Analysis,,Okta SSO,,,,,,,,,,,,,,,,,,ECD,,,,,Global Development,,,,,,
9271d990-0df2-4e50-ab27-27e1e48381eb,Application,3E Material Safety Data Sheets,3E Material Safety Data Sheets,"Real Estate & Facilities Management / Environmental, Health, and Safety (EHS) Management / EHS Compliance",,,,,,,,,,,,,,,,,,Real Estate & Facilities Mgmt,,,,,,,Real Estate & Facilities Mgmt,green,7c58310b6f5b3a806ea3d4a21c3ee47e,,,perfect,fullyAppropriate
b7d3e979-2517-40df-b628-62130e5d386a,Application,3M Detection Management Software,3M Detection Management Software,"Real Estate & Facilities Management / Environmental, Health, and Safety (EHS) Management / EHS Compliance",,,,,,,,,,,,,,,,,,Real Estate & Facilities Mgmt,,,,,,,Real Estate & Facilities Mgmt,green,,,,,
ccbfcd2b-b6a1-4c9d-a727-8410dde4edc6,Application,A Squared (A2),A Squared (A2),IOPS Supply Chain Management / Demand Planning;IOPS Supply Chain Management / Order Management;IOPS Supply Chain Management / Supply Planning;~Development Operations & Portfolio Management (DO & PM) / Study Execution and Tracking;~Development Operations & Portfolio Management (DO & PM) / Study Execution and Tracking / Clinical Drug Supply Management,,,,,,,,,,,IOPS - GLO APS P2: Demand/Constrained Supply Plan & SIOP,No,,,,,,IOPS,,DO&PM,,,Global,,Clinical Drug Supply and Logistics;IOPS - EM;IOPS - Mfg;IOPS - Supply Chain,,,,,appropriate,adequate
17f44ada-86f9-4390-b3a7-3345d67c8e81,Application,ABAC Risk Center KYBP,ABAC Risk Center KYBP,Maintain and Enhance Ethics & Compliance / Manage Third Party Risk,,Okta SSO,,,,,,,,,,,,,,,,Law,,,,,,,Law / Regulatory Compliance,green,5ccef5701b9ccc90d710c91e1e4bcb93,,Empty,appropriate,adequate
c15ad1cf-4736-449c-93f6-d42053dade71,Application,ABC SLIMS,ABC SLIMS,,,,,,,,,,,,,,,R&pD Owned,,,,R&pD IT,,,,,,,,,,,,,
9bb6d7b1-836d-436c-b2fd-fc22e2c983ea,Application,Academy Pages,Academy Pages,Foundational Capabilities / Training and Onboarding (GxP),,,,,,,,,,,SDE- Academy Page for Data Enablement Integration,,,GD Owned,GD - GD/LCOE,,,,,DO&PM;ECD,,,,,Enterprise,,,,,appropriate,adequate
121221b2-95ea-4803-ae85-b04a46067059,Application,Acceleration Point,Acceleration Point,Collaborations & Touchpoints / External Partners & Vendors;Foundational Capabilities / Data Modeling and Visualization;~Global Medical Affairs (GMA) / HCP engagement management / HCP Interaction & Insight Tracking,,Okta SSO,,,,,,,,,,,,,,,,,,MA,Accenture,,,,"Oncology, Immunology, Medical Affairs",,,,,appropriate,adequate
121221b2-95ea-4803-ae85-b04a46067059,Application,Acceleration Point,Acceleration Point,Collaborations & Touchpoints / External Partners & Vendors;Foundational Capabilities / Data Modeling and Visualization;~Global Medical Affairs (GMA) / HCP engagement management / HCP Interaction & Insight Tracking,,PowerBI,,,,,,,,,,,,,,,,,,MA,Accenture,,,,"Oncology, Immunology, Medical Affairs",,,,,appropriate,adequate
0c8547b6-9a30-4215-a88d-90137424786f,Application,Access Workspace,Access Workspace,,,The Access Group Access Workspace SaaS Hosting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2b16e5d4-bee3-4494-954f-0cb628a7e23c,Application,AccuraScience NGS - New Generation Sequencing,AccuraScience NGS - New Generation Sequencing,IOPS Quality Control / QC Virology,,,,,,,,,,,,,,,,,,IOPS,,,,,,,IOPS - QC,,,,,,
5c67c557-75dd-4e79-8004-0e5a0c178025,Application,AccuSEQ,AccuSEQ,IOPS Quality Control,,,,,,,,,,,,,,,,,,IOPS,,,,,,,IOPS - QC,,,,,,
c7c12e05-86ed-4f40-8529-11533660c1fa,Application,Achievers,Achievers,Benefits Management;Talent Development / Employee Engagement,,Achievers Achievers SaaS Hosting,,,,,,,,,,,,,,,,G&A IT - Human Resources,,,,,,Business Owned;G&A IT,Human Resources / Total Rewards,yellow,https://regeneron.service-now.com/nav_to.do?uri=cmdb_ci_service_auto.do?sys_id=6fd13717db92db44c9dadda5ca96197e,https://regeneron.service-now.com/cmdb_ci_business_app.do?sys_id=97d47173871535141db8ca2acebb3593,,,
c7c12e05-86ed-4f40-8529-11533660c1fa,Application,Achievers,Achievers,Benefits Management;Talent Development / Employee Engagement,,Okta SSO,,,,,,,,,,,,,,,,G&A IT - Human Resources,,,,,,Business Owned;G&A IT,Human Resources / Total Rewards,yellow,https://regeneron.service-now.com/nav_to.do?uri=cmdb_ci_service_auto.do?sys_id=6fd13717db92db44c9dadda5ca96197e,https://regeneron.service-now.com/cmdb_ci_business_app.do?sys_id=97d47173871535141db8ca2acebb3593,,,
9f35ea94-d927-442c-b9ae-a194c9285817,Application,ACL Audit,ACL Audit,Consolidations and External Reporting / Corporate Governance,,,,,,,,,,,,,,,,,,G&A IT - Audit,,,,,,G&A IT,Financial Services / Internal Audit,green,https://regeneron.service-now.com/nav_to.do?uri=cmdb_ci_service_auto.do?sys_id=63d13717db92db44c9dadda5ca961980,,,perfect,adequate
0347eb88-3f10-46eb-b25c-c34e46b05239,Application,Acquia DAM,Acquia DAM,~Development Operations & Portfolio Management (DO & PM) / Shared Services / Training,,Okta SSO,,,,,,,,,,,,GD Owned,GD - GD/LCOE,,,,,DO&PM,Acquia,,,,Global Development Training,,,,,,
301cebb8-9280-483d-aa0d-6983c82a8141,Application,Acronym App [PowerApps],Acronym App [PowerApps],,,,,,,,,,,,,,,,,,,,,,In-House,,,,,,,,,,
11a11a0c-4e55-457c-b9fa-e2cf0381b5ea,Application,Additional Risk Minimization Measures,Additional Risk Minimization Measures,Collaborations & Touchpoints / GPS;~Global Patient Safety (GPS) / Surveillance: Signal & Risk Management,,Appian Appian,,,,,,,,,Appian Cloud Migration,,,,,,,,,GPS;RA,,,,,Global Patient Safety;Regulatory,,,,,,
