Business Capability in LeanIX,Hierarchy,Mapped  Level 1 Capability,mapped to Lifesciences Capabilities Level 3
Accounting,Accounting,Finance,Finance / Accounting and Financial Close
Accounts Payable,Accounting / Accounts Payable,Finance,Finance / Accounting and Financial Close / Accounts Payable
Financial Accounting,Accounting / Financial Accounting,Finance,Finance / Accounting and Financial Close
Fixed Assets and PP&E,Accounting / Fixed Assets and PP&E,Finance,Finance / Accounting and Financial Close / Asset Accounting
Inventory Costing,Accounting / Inventory Costing,Finance,Finance / Accounting and Financial Close / Inventory Accounting
Lease Management,Accounting / Lease Management,Finance,Finance / Real Estate Management / Financial Lease Management
Management Accounting,Accounting / Management Accounting,Finance,Finance / Accounting and Financial Close / Management Accounting
Management Reporting,Accounting / Management Reporting,Finance,Finance / Accounting and Financial Close / Financial Reporting
Revenue Management,Accounting / Revenue Management,Finance,Finance / Accounting and Financial Close / Revenue Accounting
Travel & Expense Management,Accounting / Travel & Expense Management,Finance,Finance / Travel Management / Travel and Expense Management
Benefits Management,Benefits Management,Human Resources,Human Resources / Benefits Management
Employee Assistance Programs (EAP),Benefits Management / Employee Assistance Programs (EAP),Human Resources,Human Resources / Benefits Management / Employee Assistance
Flexible Spending Accounts (FSA) Administration,Benefits Management / Flexible Spending Accounts (FSA) Administration,Human Resources,Human Resources / Benefits Management / Flexible Spending
Health Insurance Administration,Benefits Management / Health Insurance Administration,Human Resources,Human Resources / Benefits Management / Health Insurance
Life and Disability Insurance Administration,Benefits Management / Life and Disability Insurance Administration,Human Resources,Human Resources / Benefits Management / Life Insurance
Retirement Plans Administration,Benefits Management / Retirement Plans Administration,Human Resources,Human Resources / Benefits Management / Retirement Plans
Business Architecture,Business Architecture,Enterprise Strategy,Enterprise Strategy / Business Architecture
Candidate Screening,Candidate Screening,Human Resources,Human Resources / Talent Acquisition / Candidate Assessment
Capital Expenditure Requests,Capital Expenditure Requests,Finance,Finance / Corporate Finance / Capital Investment
Collaborations & Touchpoints,Collaborations & Touchpoints,Enterprise Strategy,Enterprise Strategy / Business Process Management
Business Collaborations,Collaborations & Touchpoints / Business Collaborations,Enterprise Strategy,Enterprise Strategy / Business Process Management
Data & Systems Collaborations,Collaborations & Touchpoints / Data & Systems Collaborations,Enterprise Strategy,Enterprise Strategy / Information Management
Document Collaborations,Collaborations & Touchpoints / Document Collaborations,Enterprise Strategy,Enterprise Strategy / Information Management
Governance Collaborations,Collaborations & Touchpoints / Governance Collaborations,Enterprise Strategy,Enterprise Strategy / Corporate Governance
Process Collaborations,Collaborations & Touchpoints / Process Collaborations,Enterprise Strategy,Enterprise Strategy / Business Process Management
