id,type,name,displayName,relITComponentToApplication,relToChild,relITComponentToTechPlatform,relITComponentToProject,relITComponentToInterface,location,relITComponentToUserGroup,tags:GxP,tags:GD IT Teams,tags:Owned By,tags:Owning Function,tags:Business Domain,tags:Main Area,tags:Business Unit,tags:LX PS WiP,tags:Region,tags:IT Component Standards,tags:Other tags,relITComponentToTechnologyStack,technicalSuitability,relITComponentToProvider
ID,Type,Name,Display Name,Applications,Children,Implements Tech Platforms,Initiatives,Interfaces,Location,Organizations,GxP,GD IT Teams,Owned By,Owning Function,Business Domain,Main Area,Business Unit,LX PS WiP,Region,IT Component Standards,Other tags,Tech Categories,Technical Fit,Providers
72f2bd1f-84a3-49d5-8d8b-4a38c8339007,ITComponent,1TEST,1TEST,,,,,,,,,,,,,,,,,,,,,
2b11188a-0c01-44c5-94d5-f8f30b4fb630,ITComponent,Hosting,3CLogic Hosting,HR4U [Platform] / 3CLogic Call Center,,,,,,,,,,,,,,,,,G&A IT,,,3CLogic
3f074f96-1172-4e7a-ba74-7ffa713e87d8,ITComponent,Achievers SaaS Hosting,Achievers Achievers SaaS Hosting,Achievers,,,,,,,,,,,,,,,,,G&A IT,Human Resources Management (HRM) / Employee Performance and Engagement Management,,Achievers
16e44cc8-8b00-447a-9027-258b6ca0c08e,ITComponent,Acrobat,Adobe Acrobat 9.x,PAS-X Manufacturing Execution System (MES) Rensselaer,,,,,,,,,,,,,,,,,,,,Adobe
82cbf593-359a-4211-a9c0-6da0afb1ce04,ITComponent,Captivate,Adobe Captivate,Captivate,,,,,,,,,,,,,,,,,G&A IT,,,Adobe
ec50c973-9ba8-46e7-89f8-0c993585acef,ITComponent,InDesign,Adobe InDesign,InDesign,,,,,,,,,,,,,,,,,G&A IT,,,Adobe
8595f28e-521b-4b3a-9e63-16d2da0c6371,ITComponent,Aetna Application Hosting,Aetna Aetna Application Hosting,Aetna,,,,,,,,,,,,,,,,,G&A IT,,,Aetna
301bb43c-499a-4443-b476-529ec1d4716a,ITComponent,Aetna SaaS Hosting,Aetna Aetna SaaS Hosting,Aetna,,,,,,,,,,,,,,,,,,,,Aetna
471690ae-2402-49be-800a-6c8d04fba976,ITComponent,Analytics SaaS Hosting,Alphabet / Google Analytics SaaS Hosting,Clinical Trials Site - Corporate;REGN Career Site;Workday [Platform],,,Career Site Replacement,,,,,,,,,,,,,,,,,Alphabet / Google
8d3969f0-a94b-49ac-a43a-10c285e0ddca,ITComponent,Apigee API Management,Alphabet / Google Apigee API Management,,,,,,,,,,,,,,,,,,,Software Development / Development Environment,,Alphabet / Google
fc1c5310-f8e2-4c41-8a07-7712e353395f,ITComponent,Flutter,Alphabet / Google Flutter 3.22.x,Return to Office Smart Mobile App,,Regeneron Web Services - Digital Platform for App Development,,,,,,,,,,,,,,,,,,Alphabet / Google
b0038c06-f30a-43de-b450-2c60d9aa3b9b,ITComponent,Google Analytics,Alphabet / Google Google Analytics,Regeneron Medical Portal,,,,,,,,,,,,,,,,,,,,Alphabet / Google
7204443a-ab45-466d-af46-73be72d4d594,ITComponent,Amazon RDS for Oracle,Amazon.com / AWS Amazon RDS for Oracle,Enterprise Data Warehouse;Human Sample Request,,,,Sharepoint GD Study Numbers to Data Warehouse,,,,,,,,,,,,,,,,Amazon.com / AWS
