id,type,name,displayName,relProjectToPlatform,relProjectToApplication,relProjectToBusinessCapability,relProjectToProcess,businessValue,relToChild,relProjectToDataObject,relProjectToInterface,relProjectToITComponent,LevelofEffort,relProjectToObjective,tags:GD IT Teams,tags:Owned By,tags:Owning Function,tags:Business Domain,tags:Main Area,tags:Type of Work,tags:Business Unit,tags:LX PS WiP,tags:Project Phase,tags:Region,tags:Other tags,relProjectToTechnicalStack,relProjectToUserGroup
ID,Type,Name,Display Name,Affected Technical Capabilities,Applications,Business Capabilities,Business Contexts,Business Value,Children,Data Objects,Interfaces,IT Components,Level of Effort,Objectives,GD IT Teams,Owned By,Owning Function,Business Domain,Main Area,Type of Work,Business Unit,LX PS WiP,Project Phase,Region,Other tags,Tech Categories,Organizations
5d235744-1718-401a-95bc-1036358d2510,Project,* IOPS - Logistics and Distribution Program,* IOPS - Logistics and Distribution Program,,,,,,* IOPS - Logistics and Distribution Program / IOPS - GLO Cloud Warehouse Management System (WH&L);* IOPS - Logistics and Distribution Program / IOPS - GLO Global Trade Compliance;* IOPS - Logistics and Distribution Program / IOPS -GLO Transportation Management (4PLs),,,,,,,,,Supply Chain - Scott,IOPS,,,,7. Execute,,,,IOPS - WH&L
cd77d4c8-dce9-4a71-95b6-9b092b72881c,Project,IOPS - GLO Cloud Warehouse Management System (WH&L),* IOPS - Logistics and Distribution Program / IOPS - GLO Cloud Warehouse Management System (WH&L),,Future State ERP;Oracle eBusiness Suite [Platform],IOPS Supply Chain Management / Warehouse Management,Pick Move Orders - Warehouse and Logistics,largeBusinessBenefit,Empty,,,Empty,High,Forward5 - Supply Assurance,,,,Supply Chain - Scott,IOPS,,,,3. Prioritize,Global,Digital Transformation;Saratoga,,IOPS - WH&L
749b3996-e0b0-4bf5-b6cb-f793069399f0,Project,IOPS - GLO Global Trade Compliance,* IOPS - Logistics and Distribution Program / IOPS - GLO Global Trade Compliance,,Future State ERP;Oracle eBusiness Suite [Platform],IOPS Supply Chain Management / Global Trade Management,,largeBusinessBenefit,Empty,,,Empty,High,Forward5 - Supply Assurance,,,,Supply Chain - Scott,IOPS,,,,3. Prioritize,Global,Digital Transformation,,IOPS - WH&L
0227f28f-0486-4873-bbdd-5c19592e7d69,Project,IOPS -GLO Transportation Management (4PLs),* IOPS - Logistics and Distribution Program / IOPS -GLO Transportation Management (4PLs),,Oracle eBusiness Suite [Platform],IOPS Supply Chain Management / Inbound / Outbound Transportation Management,,littleBusinessBenefit,,,,,High,Forward5 - Supply Assurance,,,,Supply Chain - Scott,IOPS,,,,3. Prioritize,,Digital Transformation,,IOPS - WH&L
60a5016c-89f6-4f37-a724-a463d4ea735c,Project,* IOPS - Oracle Quality Improvement Program,* IOPS - Oracle Quality Improvement Program,,,,,,,,,,,,,,,,,,,,1. Surface,,,,
8d144414-dbc7-472e-8474-6f93eceae25e,Project,* IOPS - QC Systems Program,* IOPS - QC Systems Program,,LabWare LIMS;Nautilus LIMS,,,,* IOPS - QC Systems Program / IOPS - GLO LabWare Raw Materials Rollout;* IOPS - QC Systems Program / IOPS - GLO LabWare Upgrade (v8) and Qualification;* IOPS - QC Systems Program / IOPS - GLO LW Commercial Molecule Implementation,,,,,,,,,,,,,,7. Execute,,Digital Transformation,,
a1e1340b-1814-47e3-9052-c0ddf68dca4d,Project,IOPS - GLO LabWare Raw Materials Rollout,* IOPS - QC Systems Program / IOPS - GLO LabWare Raw Materials Rollout,,Labware ELN;LabWare LIMS,IOPS Quality Control / Raw Materials Testing,,,,,,,,Forward5 - Technology Roadmap / IOPS - Implement Labware,,,,QC - Fred,IOPS,Project,,,7. Execute,Global,,,IOPS - QC
7cff6642-ac69-4280-b711-37e910c24e2b,Project,IOPS - GLO LabWare Upgrade (v8) and Qualification,* IOPS - QC Systems Program / IOPS - GLO LabWare Upgrade (v8) and Qualification,,LabWare LIMS,IOPS Quality Control,,,,,,,Low,Forward5 - Technology Roadmap / IOPS - Implement Labware,,,,QC - Fred,IOPS,Managed Work,,,7. Execute,Global,,,IOPS - QC
90891f45-6c66-4daf-8763-36df1d1b4f67,Project,IOPS - GLO LW Commercial Molecule Implementation,* IOPS - QC Systems Program / IOPS - GLO LW Commercial Molecule Implementation,,LabWare LIMS,IOPS Quality Control / In-Process and Product Release Testing,,,,,,,High,,,,,QC - Fred,IOPS,Project,,,6. Planning,,,,IOPS - QC
ccfcbb79-0328-43b3-bcbe-1b7f97e4b3ee,Project,* IOPS - Quality Systems Veeva Program,* IOPS - Quality Systems Veeva Program,,IOPS Veeva Vault QMS;QUMAS EQMS (Process Compliance),,,,* IOPS - Quality Systems Veeva Program / IOPS - GLO DocC Application Decommissioning;* IOPS - Quality Systems Veeva Program / IOPS - GLO Process Compliance Upgrade;* IOPS - Quality Systems Veeva Program / IOPS - GLO QMS/EDMS P1: Veeva EM / EM QA;* IOPS - Quality Systems Veeva Program / IOPS - GLO QMS/EDMS P3: Veeva QMS;* IOPS - Quality Systems Veeva Program / IOPS - GLO QMS/QDocs Veeva P2,,,,,,,,,QA - Rajesh,IOPS,,,,7. Execute,Global,Digital Transformation,,IOPS - QA
c60d6265-0ae8-48d2-8d40-29f05ee28190,Project,IOPS - GLO DocC Application Decommissioning,* IOPS - Quality Systems Veeva Program / IOPS - GLO DocC Application Decommissioning,,QUMAS EDMS (DocCompliance),IOPS Quality Assurance / Document Control,,,,,,,,IOPS - Keep Existing Systems Operational (Lifecycle Upgrades),,,,QA - Rajesh,IOPS,Managed Work,,,2. Shape,Global,,,IOPS - QA
5bcb08ff-af2c-4334-9431-508b014a0dd9,Project,IOPS - GLO Process Compliance Upgrade,* IOPS - Quality Systems Veeva Program / IOPS - GLO Process Compliance Upgrade,,QUMAS EQMS (Process Compliance),IOPS Quality Assurance / Change Control;IOPS Quality Assurance / Deviation Management,,,,,,,High,IOPS - Keep Existing Systems Operational (Lifecycle Upgrades),,,,QA - Rajesh,IOPS,Project,,,7. Execute,Global,,,IOPS - QA
9c03507f-5d3f-4e2c-b983-6366ebab94ca,Project,IOPS - GLO QMS/EDMS P1: Veeva EM / EM QA,* IOPS - Quality Systems Veeva Program / IOPS - GLO QMS/EDMS P1: Veeva EM / EM QA,,,,Add a new supplier to Approved Supplier List (ASL),,,,,,Low,,,,,QA - Rajesh,IOPS,Managed Work,,,7. Execute,,,,IOPS - QA
1b5fe11a-d234-488b-89ba-1de9af2321d4,Project,IOPS - GLO QMS/EDMS P3: Veeva QMS,* IOPS - Quality Systems Veeva Program / IOPS - GLO QMS/EDMS P3: Veeva QMS,,QUMAS EDMS (DocCompliance);QUMAS EQMS (Process Compliance),IOPS Quality Assurance / Complaints Management;IOPS Quality Assurance / Deviation Management;IOPS Quality Control / Test & Result Management,,significantBusinessBenefit,,,,,High,,,,,QA - Rajesh,IOPS,Project,,,6. Planning,Global,,,IOPS - QA
