id,type,name,displayName,relToChild,connectionType,relInterfaceToConsumerApplication,dataFlowDirection,relInterfaceToDataObject,frequency,relInterfaceToProject,interfaceType,relInterfaceToITComponent,tags:GD IT Teams,tags:Owned By,tags:Owning Function,tags:Business Domain,tags:Main Area,tags:Business Unit,tags:LX PS WiP,tags:Region,tags:Other tags
ID,Type,Name,Display Name,Children,Connection Type,Consumer Applications,Data Flow Direction,Data Objects,Frequency,Initiatives,Interface Type,IT Components,GD IT Teams,Owned By,Owning Function,Business Domain,Main Area,Business Unit,LX PS WiP,Region,Other tags
5eb92d03-fe39-4d96-bcc1-2d599764629c,Interface,A2 to APS,A2 to APS,A2 to APS / A2 to APS - Blinding;A2 to APS / A2 to APS - Clinical Forecast;A2 to APS / A2 to APS - Clinical Orders;A2 to APS / A2 to APS - Commercial Forecast;A2 to APS / A2 to APS - Country;A2 to APS / A2 to APS - CountryGroup;A2 to APS / A2 to APS - CountryGroupCountry;A2 to APS / A2 to APS - Customer;A2 to APS / A2 to APS - Customer Partner;A2 to APS / A2 to APS - IND Dmd Program;A2 to APS / A2 to APS - IndDmd Clinical;A2 to APS / A2 to APS - Label;A2 to APS / A2 to APS - LabelColor;A2 to APS / A2 to APS - LabelStatus;A2 to APS / A2 to APS - LabelType;A2 to APS / A2 to APS - Milestone;A2 to APS / A2 to APS - MilestoneProject;A2 to APS / A2 to APS - NetType;A2 to APS / A2 to APS - Objective;A2 to APS / A2 to APS - ObjectiveType;A2 to APS / A2 to APS - Partner;A2 to APS / A2 to APS - Program Orders;A2 to APS / A2 to APS - ProgramMilestone;A2 to APS / A2 to APS - Project;A2 to APS / A2 to APS - ProjectObjective;A2 to APS / A2 to APS - RandomizationList;A2 to APS / A2 to APS - Study;A2 to APS / A2 to APS - StudyPhases;A2 to APS / A2 to APS - StudyStage;A2 to APS / A2 to APS - StudyStatus;A2 to APS / A2 to APS - StudyType,,Kinaxis Maestro Advanced Planning System (APS),outgoing,,daily,,,,,,,,IOPS,,,,
ecef0558-0062-4932-bb32-bc6e7b13ea6a,Interface,A2 to APS - Blinding,A2 to APS / A2 to APS - Blinding,,,Kinaxis Maestro Advanced Planning System (APS),outgoing,,,,,,,,,,IOPS,,,,
47c4beeb-3222-484e-93fd-05310a5a37b3,Interface,A2 to APS - Clinical Forecast,A2 to APS / A2 to APS - Clinical Forecast,,,Kinaxis Maestro Advanced Planning System (APS),outgoing,,,,,,,,,,IOPS,,,,
5c632405-8b59-497b-9401-f878a6a8fc35,Interface,A2 to APS - Clinical Orders,A2 to APS / A2 to APS - Clinical Orders,,,Kinaxis Maestro Advanced Planning System (APS),outgoing,,,,,,,,,,IOPS,,,,
efd62e8b-41b7-4235-82d2-775a43e007fa,Interface,A2 to APS - Commercial Forecast,A2 to APS / A2 to APS - Commercial Forecast,,,Kinaxis Maestro Advanced Planning System (APS),outgoing,,,,,,,,,,IOPS,,,,
4e89abc5-5040-45ba-b4d7-0e10bf2fcbbb,Interface,A2 to APS - Country,A2 to APS / A2 to APS - Country,,,Kinaxis Maestro Advanced Planning System (APS),outgoing,,,,,,,,,,IOPS,,,,
d002761e-b505-40b5-a11f-dd7abc2b8015,Interface,A2 to APS - CountryGroup,A2 to APS / A2 to APS - CountryGroup,,,Kinaxis Maestro Advanced Planning System (APS),outgoing,,,,,,,,,,IOPS,,,,
f22c5500-a919-4dec-8440-54372f33002b,Interface,A2 to APS - CountryGroupCountry,A2 to APS / A2 to APS - CountryGroupCountry,,,Kinaxis Maestro Advanced Planning System (APS),outgoing,,,,,,,,,,IOPS,,,,
ae705a5c-8ac2-46bc-beb6-85870ec7fe21,Interface,A2 to APS - Customer,A2 to APS / A2 to APS - Customer,,,Kinaxis Maestro Advanced Planning System (APS),outgoing,,,,,,,,,,IOPS,,,,
16a9fe0a-0209-4b62-9b13-8b76232f328e,Interface,A2 to APS - Customer Partner,A2 to APS / A2 to APS - Customer Partner,,,Kinaxis Maestro Advanced Planning System (APS),outgoing,,,,,,,,,,IOPS,,,,
81016655-f28e-4e28-9674-656253b47f4d,Interface,A2 to APS - IND Dmd Program,A2 to APS / A2 to APS - IND Dmd Program,,,Kinaxis Maestro Advanced Planning System (APS),outgoing,,,,,,,,,,IOPS,,,,
c6671933-0b3d-417b-b76f-90ce06cb3799,Interface,A2 to APS - IndDmd Clinical,A2 to APS / A2 to APS - IndDmd Clinical,,,Kinaxis Maestro Advanced Planning System (APS),outgoing,,,,,,,,,,IOPS,,,,
35838206-2cde-4a1f-96d9-0bbd9df84a97,Interface,A2 to APS - Label,A2 to APS / A2 to APS - Label,,,Kinaxis Maestro Advanced Planning System (APS),outgoing,,,,,,,,,,IOPS,,,,
830ea00d-70a8-477e-bc77-feece7d0344b,Interface,A2 to APS - LabelColor,A2 to APS / A2 to APS - LabelColor,,,Kinaxis Maestro Advanced Planning System (APS),outgoing,,,,,,,,,,IOPS,,,,
6bf8693c-34a0-40c8-a8ba-2388cad4ad31,Interface,A2 to APS - LabelStatus,A2 to APS / A2 to APS - LabelStatus,,,Kinaxis Maestro Advanced Planning System (APS),outgoing,,,,,,,,,,IOPS,,,,
