id,type,name,displayName,relToChild,relProviderToITComponent,relProviderToProject,tags:GD IT Teams,tags:Owned By,tags:Owning Function,tags:Business Domain,tags:Main Area,tags:Business Unit,tags:LX PS WiP,tags:Region,tags:Other tags
ID,Type,Name,Display Name,Children,IT Components,Initiatives,GD IT Teams,Owned By,Owning Function,Business Domain,Main Area,Business Unit,LX PS WiP,Region,Other tags
44e34694-ffdc-451a-a29c-3481685c5674,Provider,3CLogic,3CLogic,,3CLogic Hosting,,,,,,,,,,G&A IT
dc33d37c-7c72-42a7-be3c-0851edc58d2c,Provider,Accenture,Accenture,,,,,,,,,,,,
4c0409d0-38e0-4ffb-8cc3-a04dd52683f4,Provider,Achievers,Achievers,,Achievers Achievers SaaS Hosting,,,,,,,,,,G&A IT
6ee11da4-dd2b-48fa-b750-7b09e5701b01,Provider,Adobe,Adobe,,Adobe Acrobat 9.x;Adobe Captivate;Adobe InDesign,,,,,,,,,,G&A IT
e18f4340-5c2f-4c10-a926-5f0f9deceef4,Provider,Aetna,Aetna,,Aetna Aetna Application Hosting;Aetna Aetna SaaS Hosting,,,,,,,,,,G&A IT
250f95a9-43b0-41ee-adee-108703c8aca6,Provider,Alation,Alation,,,,,,,,,,,,
b211e834-f704-4c2b-95bc-b1452a9d6a63,Provider,Alphabet,Alphabet,Alphabet / Google,,,,,,,,,,,
5e280ba3-d920-48d3-9674-b921cad4073d,Provider,Google,Alphabet / Google,Alphabet / Google / GCP,Alphabet / Google Analytics SaaS Hosting;Alphabet / Google Apigee API Management;Alphabet / Google Flutter 3.22.x;Alphabet / Google Google Analytics,,,,,,,,,,
11aedbb2-06e0-4772-8c05-de9017baa344,Provider,GCP,Alphabet / Google / GCP,,,,,,,,,,,,
0be9749a-9373-4fd4-84e2-ff3063282eb7,Provider,Amazon.com,Amazon.com,Amazon.com / AWS,,,,,,,,,,,G&A IT
3e874cac-384f-4aaa-825c-3478a2130745,Provider,AWS,Amazon.com / AWS,,Amazon.com / AWS Amazon RDS for Oracle;Amazon.com / AWS Amazon Redshift SaaS Hosting;Amazon.com / AWS Amazon S3;Amazon.com / AWS EC2;Amazon.com / AWS ElastiCache for Redis;Amazon.com / AWS Lambda;Amazon.com / AWS Transfer for SFTP,,,,,,,,,,G&A IT
23027e21-4de1-4829-bf90-65c1ac24ae02,Provider,AON,AON,,AON AON Application Hosting,,,,,,,,,,G&A IT
04f600c1-4fa0-4b24-b273-5170f5f1b7a2,Provider,Apache Software Foundation,Apache Software Foundation,,Apache Software Foundation Hive 3.x,,,,,,,,,,
4d53be8f-f1fd-4e42-a917-3be876665fa8,Provider,Appian,Appian,,Appian Appian,,,,,,,,,,
b4c3727e-7e7a-4b08-b0c2-933b2ed323a0,Provider,Argo Project,Argo Project,,Argo Project Argo CD 2.9.x,,,,,,,,,,
c14f769b-3a56-41eb-bb8f-403142df7451,Provider,Articulate,Articulate,,Articulate Articulate Application Hosting,,,,,,,,,,G&A IT
2645febe-23d9-4e82-a0b2-954cbfeb9e47,Provider,Articulate Global,Articulate Global,,Articulate Global Articulate SaaS Hosting,,,,,,,,,,
74092e93-1375-48d2-b1bc-36328ff16704,Provider,Atlassian,Atlassian,,Atlassian Atlassian Confluence SaaS Hosting;Atlassian Bitbucket Server 8.14.x;Atlassian Bitbucket Server 8.6.x;Atlassian Jira;Atlassian Jira Service Desk,,,,,,,,,,
d3b2ddb1-647c-4627-8fcb-e10f13a302e9,Provider,Avature,Avature,,Avature Application Hosting,Career Site Replacement,,,,,,,,,G&A IT
7cb9b4c1-9270-4be7-a820-d80e785918d0,Provider,Avoma,Avoma,,Avoma Avoma,,,,,,,,,,
d992e458-2224-43e5-858f-b7dbb5d68cd9,Provider,Axway,Axway,,,,,,,,,,,,
d1fb0342-c236-4aa1-8942-b2fdf29352ba,Provider,Bank of America,Bank of America,,Bank of America Hosting,,,,,,,,,,G&A IT
98c86316-905c-4551-8a84-68c6e266ab3a,Provider,Beamery,Beamery,,Beamery Beamery SaaS Hosting,,,,,,,,,,
cb0cca24-3b75-4083-a70a-0a2dffd5ba19,Provider,Beeline,Beeline,,Beeline Application Hosting;Beeline Beeline SaaS Hosting;Beeline RaaS,,,,,,,,,,G&A IT
dfbf69d7-aa73-4c63-9d1a-b1c3b57c10fd,Provider,BenefitSolver,BenefitSolver,,BenefitSolver Application Hosting,,,,,,,,,,G&A IT
dcc2ef8c-758d-41fc-9472-95c1879c1589,Provider,Bioclinica (Clario),Bioclinica (Clario),,,,,,,,,,,,
8f964103-d717-4773-8551-717ba2f18c8c,Provider,BioIT,BioIT,,,,,,,,,,,,
023583af-608f-4db8-9ba3-4e7f2032287d,Provider,BioRender,BioRender,,BioRender BioRender SaaS Hosting,,,,,,,,,,
3cf0563f-1d2f-468e-9cac-5fc6b6a1d750,Provider,Boomi,Boomi,,Boomi Boomi Integration,,,,,,,,,,
3b549197-7e32-4f26-8e5a-e1c6544fb2e2,Provider,Box,Box,,,,,,,,,,,,
b63629db-d6d0-4dc0-bffa-d1b2f16876dc,Provider,BrassRing,BrassRing,,BrassRing BrassRing Application Hosting,,,,,,,,,,G&A IT
9c76002b-5501-4247-b3dd-5ed06eea6484,Provider,Bright Horizon,Bright Horizon,,Bright Horizon Bright Horizon Application Hosting,,,,,,,,,,G&A IT
6c8bea03-2b5e-4650-86f5-a5b7c3f5f8fe,Provider,Broadcom,Broadcom,Broadcom / NortonLifeLock,,,,,,,,,,,
